"hashtag","count_tag_tourist","count_tag_nontourist","total_tag","pct","pct_non"
"amsterdam",303,261,564,53.7234042553192,46.2765957446808
"canals",7,1,8,87.5,12.5
"damsquare",2,1,3,66.6666666666667,33.3333333333333
"holiday",4,0,4,100,0
"holland",31,6,37,83.7837837837838,16.2162162162162
"iamsterdam",6,0,6,100,0
"netherlands",56,9,65,86.1538461538462,13.8461538461538
"photography",8,3,11,72.7272727272727,27.2727272727273
"redlightdistrict",4,1,5,80,20
"rijksmuseum",18,0,18,100,0
"summer",20,0,20,100,0
"tourist",4,0,4,100,0
"travel",43,1,44,97.7272727272727,2.27272727272727
"travelling",2,0,2,100,0
"travelphotography",7,0,7,100,0
"visitamsterdam",3,0,3,100,0
"weekend",6,0,6,100,0
